old_name,new_name,longer_name,module,data_source,display_streamlined,happy_question,question_type,dashboard_comments
What one type of principal_0002,e_employer_type_priv,Employer Type: Private Sector,Employment Status Or Expectations,Exit Survey,TRUE,TRUE,qualitative,NA
"If other employer, please specif",e_employer_type_other,Employer Type: Other,Employment Status Or Expectations,Exit Survey,FALSE,FALSE,NA,written response
Where is this employer located?,e_employer_loc,Employer Location,Employment Status Or Expectations,Exit Survey,TRUE,TRUE,qualitative,NA
XV. DEMOGRAPHIC INFORMATIONWhat,dem_gender,Gender,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your year of birth?,dem_year_birth,Year of Birth,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your present citizenship,dem_us_citizen,US Citizen Status,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your present citize_0001,dem_non_us_citizen,Non-US Citizen Status,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
What is your present citize_0002,dem_non_us_citizen_country,Non-US Citizen Country of Origin,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
Are you Hispanic or Latino?,dem_hisp_latino,Hispanic or Latino?,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
To which racial or ethnic group,dem_racial_group,Racial and Ethnic Groups,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
Do you have a spouse or domestic,dem_spouse,Spouse or Domestic Partner?,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
Do you have dependents who live,dem_dependents,Dependents?,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
How many dependents live with yo,dem_number_of_dependents,Number of Dependents,Demographic Information,Exit Survey,FALSE,FALSE,NA,NA
XVI.  COMMENTS Whichaspects,co_pleasing,What were the most pleasing aspects?,Comments,Exit Survey,FALSE,FALSE,NA,NA
Were there aspects of your docto,co_problematic,What were the most problematic aspects?,Comments,Exit Survey,FALSE,FALSE,NA,NA
Was there anything about your do,co_slowprogress,Was there anything that slowed your progress?,Comments,Exit Survey,FALSE,FALSE,NA,NA
What changes would you recommend,co_changes,What changes would you recommend to your program for the future?,Comments,Exit Survey,FALSE,FALSE,NA,NA
Q75 - Topics,placeholder,placeholder,Placeholder,Exit Survey,FALSE,FALSE,NA,NA
redcap_event_name,di_redcap_event_name,Which Redcap Survey?,Data Identification,Alumni Outcomes,FALSE,FALSE,start of alumni outcomes,NA
redcap_repeat_instrument.x.x,di_redcap_repeat_instrument.x.x,Repeat Instrument,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
redcap_repeat_instance,di_redcap_repeat_instance,Repeat Instance,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
redcap_data_access_group,di_redcap_data_access_group,Data Access Group,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
redcap_survey_identifier,di_redcap_survey_identifier,Survey Identifier,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
datediff,di_datediff,Time between graduations and when survey was taken,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
acad_plan,b_acad_plan,Academic Plan,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
dipl_descr,b_dipl_descr,Diploma Description,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
academic_division,b_generation,Generation,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
graduation_program,b_graduation_program,Graduation Program,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
degree,b_degree,Degree,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
graduation_term,b_graduation_term,Graduation Term,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
grad_term,b_grad_term,Graduation Term (text format),Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
prog_status,b_prog_status,Program Status,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
degree_status,b_degree_status,Degree Status,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
grad_date,b_grad_date,Graduation Date,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
stand_grad_date,b_stand_grad_date,Standardized Graduation Date,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
acad_year.y,b_acad_year.y,Academic Year,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
program_notes_1,b_program_notes_1,Second Degree,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
program_notes_2,b_program_notes_2,Third Degree,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
program_notes_3,b_program_notes_3,Currently Pursuing Another Degree,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
gender,dem_gender_redcap,Gender (Redcap),Demographics,Alumni Outcomes,FALSE,FALSE,NA,NA
ethnicity,dem_ethnicity_redcap,Ethnicity (Redcap),Demographics,Alumni Outcomes,FALSE,FALSE,NA,NA
us_status,dem_us_status_redcap,US Citizen Status (Redcap),Demographics,Alumni Outcomes,FALSE,FALSE,NA,NA
us_status_code,dem_us_status_code,US Citizen Status Code,Demographics,Alumni Outcomes,FALSE,FALSE,NA,NA
coalition_flag,coalition_flag,Coalition Flag,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
evnt_dpts,b_evnt_dpts,Event for Departments,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
advisor,b_advisor,Advisor,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
dag,b_dag,Program Name,Basic Academic Information,Alumni Outcomes,FALSE,FALSE,NA,NA
survey_trigger,l_survey_trigger,Survey Trigger,Survey Logic,Alumni Outcomes,FALSE,FALSE,NA,NA
student_information_complete,l_student_information_complete,Student Information Complete?,Survey Logic,Alumni Outcomes,FALSE,FALSE,NA,NA
redcap_repeat_instrument.y,di_redcap_repeat_instrument.y,Repeat Instrument,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
redcap_repeat_instrument.x,di_redcap_repeat_instrument.x,Repeat Instrument,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
redcap_repeat_instrument.y.y,di_redcap_repeat_instrument.y.y,Repeat Instrument,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
grad_school_experience_timestamp,grad_school_experience_timestamp,Grad School Experience Timestamp,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
dsgn_proj1,ca_dsgn_proj_yn,Did you design research projects?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
dsgn_proj2,ca_dsgn_proj2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,remove this NA
locate_data1,ca_locate_data_yn,Did you locate and apply data?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
locate_data2,ca_locate_data2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
presenting_orally1,ca_presenting_orally_yn,Did you do oral presentations?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
presenting_orally2,ca_presenting_orally2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
supervising_people1,ca_supervising_people_yn,Did you supervise?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
supervising_people2,ca_supervising_people2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
managing_budgets1,ca_managing_budgets_yn,Did you practice managing budgets?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
managing_budgets2,ca_managing_budgets2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
critical_thinking1,ca_critical_thinking_yn,Did you practice critical thinking?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
critical_thinking2,ca_critical_thinking2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
working_collaboratively1,ca_working_collaboratively_yn,Did you practice working collaboratively?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
working_collaboratively2,ca_working_collaboratively2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
working_diverse1,ca_working_diverse_yn,Did you practice working in a diverse team?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
working_diverse2,ca_working_diverse2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
mentoring1,ca_mentoring_yn,Did you practice mentoring or advising students?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
mentoring2,ca_mentoring2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
teaching1,ca_teaching_yn,Did you practice teaching or training people?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
teaching2,ca_teaching2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
proposals1,ca_proposals_yn,Did you practice writing funding proposals?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
proposals2,ca_proposals2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
articles1,ca_articles_yn,Did you practice writing articles or books?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
articles2,ca_articles2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
building1,ca_building_yn,Did you practice building career awareness or planning?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
building2,ca_building2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
scholarship1,ca_scholarship_yn,Did you practice communicating scholarship with a broad audience?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
scholarship2,ca_scholarship2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
creativity1,ca_creativity_yn,Did you practice creativity or innovative thinking?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
creativity2,ca_creativity2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
planning1,ca_planning_yn,Did you practice planning and executing complex projects?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
planning2,ca_planning2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
vision1,ca_vision_yn,Did you practice setting a strategic vision and goals?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
vision2,ca_vision2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
time1,ca_time_yn,Did you practice time management?,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
time2,ca_time2,NA,Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,NA
research_activ,ca_research_activ,"Beyond disciplinary coursework and research, what activities, if any, did you do to build these skills during graduateschool?",Career And Professional Development,Alumni Outcomes,FALSE,FALSE,NA,Remove
prepared,ca_prepared,My graduate school experience at Duke prepared me for my current career,Career And Professional Development,Alumni Outcomes,TRUE,TRUE,NA,NA
challenge,js_challenge,How satisfied are you with your current job's intellectual challenge?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
growth,js_growth,How satisfied are you with your current job's career growth?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
independence,js_independence,How satisfied are you with your current job's independence?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
flexibility,js_flexibility,How satisfied are you with your current job's flexibilty?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
responsibility,js_responsibility,How satisfied are you with your current job's level of responsibility?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
contribution,js_contribution,How satisfied are you with your current job's contribution to field/society?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
prestige,js_prestige,How satisfied are you with your current job or organization's prestige?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
security,js_security,How satisfied are you with your current job's security?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
salary,js_salary,How satisfied are you with your current job's salary?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
balance,js_balance,How satisfied are you with your current job's work life balance?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
location,js_location,How satisfied are you with your current job's geographic location?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
recognition,js_recognition,How satisfied are you with your current job's recognition?,Job Satisfaction,Alumni Outcomes,TRUE,TRUE,NA,NA
recruiting,pr_recruiting_yn,Would your current employer be interested in recruiting Duke doctoral and masters graduates?,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
intellectual_caliber,pr_intellectual_caliber,Faculty Intellect,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,"Why are all questions in this category true/false, they should be likert"
keep_pace,pr_keep_pace,Program's ability to keep pace with field's recent developments,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
quality_curric,pr_quality_curric,Curriculum,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
quality_teaching,pr_quality_teaching,Faculty teaching,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
research_methods,pr_research_methods,Research methods,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
academic_advising,pr_academic_advising,Advising and guidance,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
exam_prep,pr_exam_prep,Prep for comprehensive exams and candidacy,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
collaboration,pr_ollaboration,Collaborate across disciplines,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
find_employment,pr_find_employment,Faculty support finding employment,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
overall,pr_overall,Overall Quality,Program Quality,Alumni Outcomes,TRUE,TRUE,NA,NA
respect,cl_respect,Students respected by faculty,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
intell_climate,cl_intell_climate,Intellectual climate is positive,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
social_climate,cl_social_climate,Social climate is positive,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
collegial,cl_collegial,students in  program are collegial,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
helpful,cl_helpful,Staff are helpful,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
tensions,cl_tensions,There are faculty tensions that affect students,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
financial_support,cl_financial_support,Financial support is distributed fairly,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
advocate,cl_advocate,My advisor served as an advocate when necessary,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
mult_paths,cl_mult_paths,Faculty supported multiple career paths,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
inclusion_prog,cl_inclusion_prog,Diversity and inclusion was important to students in my program,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
inclusion_staff,cl_inclusion_staff,Diversity and inclusion was important to faculty and staff in my program,Program Climate,Alumni Outcomes,TRUE,TRUE,NA,NA
commitments,ob_commitments_r,Financial Commitments,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
fam_obligations,ob_fam_obligations_r,Family Commitments,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
avail_faculty,ob_avail_faculty_r,Faculty Availability,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
structure,ob_structure_r,Requirements or structure,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
scheduling,ob_scheduling_r,Course Scheduling,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
immig_laws,ob_immig_laws_r,Immigration Laws,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
resar_opportunities,ob_resar_opportunities_r,Research opportunties of interest,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
other_factors,ob_other_factors_r,Other Obstacle,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
spef_oth_obstac,ob_spef_oth_obstac_r,Other obstacle explanation,Obstacles,Alumni Outcomes,TRUE,TRUE,NA,NA
same_field_duke,r_same_field_duke,"If you were to do it all again, would you choose the same field of study at Duke?",Reflections,Alumni Outcomes,TRUE,TRUE,NA,NA
diff_univ,r_diff_univ,"If you were to do it all again, would you choose the same field of study at another university?",Reflections,Alumni Outcomes,TRUE,TRUE,NA,NA
diff_field,r_diff_field,"If you were to do it all again, would you choose a different field of study at Duke?",Reflections,Alumni Outcomes,TRUE,TRUE,NA,NA
diff_field_univ,r_diff_field_univ,"If you were to do it all again, would you choose a different field of study at another university?",Reflections,Alumni Outcomes,TRUE,TRUE,NA,NA
diff_postdoc,r_diff_postdoc,"If you were to do it all again, would you choose a different post-graduate degree?",Reflections,Alumni Outcomes,TRUE,TRUE,NA,NA
not_pursue,r_not_pursue,"If you were to do it all again, would you choose to not pursue a graduate degree?",Reflections,Alumni Outcomes,TRUE,TRUE,NA,NA
recommend_program,r_recommend_program_yn,"Based upon your experiences, would you recommend yourgraduate program at Duke to a prospective graduatestudent?",Reflections,Alumni Outcomes,TRUE,TRUE,NA,NA
fac_discuss,ev_fac_discuss,How interested are you in attending faculty discussing research?,Alumni Event Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
stud_discuss,ev_stud_discuss,How interested are you in attending graduate students discussing research?,Alumni Event Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
admin_discuss,ev_admin_discuss,How interested are you in attending events with senior administrators to discuss Duke?,Alumni Event Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
networking,ev_networking,How interested are you in attending professional networking oppportunities?,Alumni Event Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
social_events,ev_social_events,How interested are you in attending social events?,Alumni Event Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
reunions,ev_reunions,How interested are you in attending department or program reunions?,Alumni Event Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
mentor_students,al_mentor_students,How interested are you in mentoring current Duke graduate students?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
mentor_alumni,al_mentor_alumni,How interested are you in mentoring Duke alumni?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
volunteer,al_volunteer,How interested are you in volunteering regionally with Duke alumni?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
attend_events,al_attend_events,How interested are you in attending events in Durham?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
speaker,al_speaker,How interested are you in speaking at professional development events?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
attend_region,al_attend_region,How interested are you in attending alumni events in your region?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
ambassador,al_ambassador,How interested are you in serving as a Duke ambassador?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
engage_admin,al_engage_admin,How interested are you in engaging senior administrators?,Alumni Activity Interest,Alumni Outcomes,TRUE,TRUE,NA,NA
pleasing_aspects,open_pleasing_aspects,Which aspects of your graduate program pleased you the most?,Comments,Alumni Outcomes,FALSE,FALSE,NA,NA
problematic_aspects,open_problematic_aspects,Were there aspects of your graduate program that you found problematic?,Comments,Alumni Outcomes,FALSE,FALSE,NA,NA
slowed_progress,open_slowed_progress,Was there anything about your graduate program that slowed your progress?,Comments,Alumni Outcomes,FALSE,FALSE,NA,NA
future_recommendations,open_future_recommendations,What changes would you recommend in your program for the future?,Comments,Alumni Outcomes,FALSE,FALSE,NA,NA
grad_school_experience_complete,grad_school_experience_complete,Grad School Experience Complete?,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
redcap_repeat_instrument,redcap_repeat_instrument,Redcap Repeat Instrument,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
position_information_timestamp,position_information_timestamp,Position Information Timestamp,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
position_form_date,position_form_date,Position form Date,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
employment_status,emp_employment_status,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
institution_name,emp_institution_name,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
other_institution,emp_other_institution,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
acad_inst_type,emp_acad_inst_type,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
current_employer,emp_current_employer,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
beyond_acad_dept,emp_beyond_acad_dept,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
further_training,emp_further_training,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
additional_degree,emp_additional_degree,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_degree,emp_oth_degree,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
postdoc_position,emp_postdoc_position,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_postdoc,emp_oth_postdoc,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_training,emp_oth_training,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
acad_pos_type,emp_acad_pos_type,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
tenured_position,emp_tenured_position,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_pos_tenured,emp_oth_pos_tenured,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
tenuretrack_position,emp_tenuretrack_position,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_pos_tenure,emp_oth_pos_tenure,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
nontenure_position,emp_nontenure_position,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_pos_nontenure,emp_oth_pos_nontenure,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
administration_position,emp_administration_position,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_pos_admin,emp_oth_pos_admin,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
beyond_acad_pos,emp_beyond_acad_pos,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
position_details,emp_position_details,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
beyond_acad_sector,emp_beyond_acad_sector,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_sector,emp_oth_sector,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
beyond_acad_indus,emp_beyond_acad_indus,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
oth_industry,emp_oth_industry,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
position_city,emp_position_city,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
position_state,emp_position_state,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
position_country,emp_position_country,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
start_date,emp_start_date,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
start_year,emp_start_year,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
completion_date,emp_completion_date,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
research_involved,emp_research_involved,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
relates_field,emp_relates_field,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
relates_degree,emp_relates_degree,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
salary_amount,emp_salary_amount,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
salary_range,emp_salary_range,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
source_link,emp_source_link,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
seeking_employment,emp_seeking_employment,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
explain_careertype,emp_explain_careertype,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
not_seeking,emp_not_seeking,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
coalition_sector,emp_coalition_sector,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
coalition_careertyp,emp_coalition_careertyp,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
coalition_postype,emp_coalition_postype,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
position_type,emp_position_type,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
dept_notes,emp_dept_notes,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
data_point,emp_data_point,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
source_survey,emp_source_survey,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
tgs_notes,emp_tgs_notes,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
employer_or_institution,emp_employer_or_institution,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
position_merged,emp_position_merged,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
new_category,emp_new_category,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
sub_category,emp_sub_category,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
sub_sub_category,emp_sub_sub_category,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
industry_agg,emp_industry_agg,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
industry_cat,emp_industry_cat,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
industry_sub_cat,emp_industry_sub_cat,NA,Employment,Alumni Outcomes,FALSE,FALSE,NA,NA
source_flag,source_flag,Source Flag,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
source_date,source_date,Source Date,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
sequence,sequence,Sequence,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
timestamp,timestamp,Timestamp,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
coalition_details,coalition_details,Coalition Details,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
coalition_notes,coalition_notes,Coalition Notes,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
coalition_url,coalition_url,Coalition URL,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
grad_date_piped,grad_date_piped,Grad Data Piped,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
to_be_sorted,to_be_sorted,To be sorted,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
position_information_complete,position_information_complete,Position information complete,Data Identification,Alumni Outcomes,FALSE,FALSE,NA,NA
